line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
1974,In this quiet way the first fortnight of her visit soon passed away.,in this quiet way the first fortnight of her visit soon passed away.,68,68,,
1975,"Easter was approaching, and the week preceding it was to bring an
addition to the family at Rosings, which in so small a circle must be
important.","easter was approaching, and the week preceding it was to bring an addition to the family at rosings, which in so small a circle must be important.",148,146,,
1976,"Elizabeth had heard, soon after her arrival, that Mr. Darcy
was expected there in the course of a few weeks; and though there were
not many of her acquaintance whom she did not prefer, his coming would
furnish one comparatively new to look at in their Rosings parties, and
she might be amused in seeing how hopeless Miss Bingley’s designs on him
were, by his behaviour to his cousin, for whom he was evidently destined
by Lady Catherine, who talked of his coming with the greatest
satisfaction, spoke of him in terms of the highest admiration, and
seemed almost angry to find that he had already been frequently seen by
Miss Lucas and herself.","elizabeth had heard, soon after her arrival, that mr. darcy was expected there in the course of a few weeks; and though there were not many of her acquaintance whom she did not prefer, his coming would furnish one comparatively new to look at in their rosings parties, and she might be amused in seeing how hopeless miss bingley's designs on him were, by his behaviour to his cousin, for whom he was evidently destined by lady catherine, who talked of his coming with the greatest satisfaction, spoke of him in terms of the highest admiration, and seemed almost angry to find that he had already been frequently seen by miss lucas and herself.",652,643,,
1977,"His arrival was soon known at the Parsonage; for Mr. Collins was walking
the whole morning within view of the lodges opening into Hunsford Lane,
in order to have

[Illustration:

“The gentlemen accompanied him.”

[_Copyright 1894 by George Allen._]]

the earliest assurance of it; and, after making his bow as the carriage
turned into the park, hurried home with the great intelligence.","his arrival was soon known at the parsonage; for mr. collins was walking the whole morning within view of the lodges opening into hunsford lane, in order to have [illustration: ""the gentlemen accompanied him."" [_copyright 1894 by george allen._]] the earliest assurance of it; and, after making his bow as the carriage turned into the park, hurried home with the great intelligence.",397,382,,
1978,"On the
following morning he hastened to Rosings to pay his respects.",on the following morning he hastened to rosings to pay his respects.,69,68,,
1979,"There were
two nephews of Lady Catherine to require them, for Mr. Darcy had brought
with him a Colonel Fitzwilliam, the younger son of his uncle, Lord ----;
and, to the great surprise of all the party, when Mr. Collins returned,
the gentlemen accompanied him.","there were two nephews of lady catherine to require them, for mr. darcy had brought with him a colonel fitzwilliam, the younger son of his uncle, lord ----; and, to the great surprise of all the party, when mr. collins returned, the gentlemen accompanied him.",263,259,,
1980,"Charlotte had seen them from her
husband’s room, crossing the road, and immediately running into the
other, told the girls what an honour they might expect, adding,--

“I may thank you, Eliza, for this piece of civility.","charlotte had seen them from her husband's room, crossing the road, and immediately running into the other, told the girls what an honour they might expect, adding,-- ""i may thank you, eliza, for this piece of civility.",224,219,,
1981,"Mr. Darcy would
never have come so soon to wait upon me.”

Elizabeth had scarcely time to disclaim all right to the compliment
before their approach was announced by the door-bell, and shortly
afterwards the three gentlemen entered the room.","mr. darcy would never have come so soon to wait upon me."" elizabeth had scarcely time to disclaim all right to the compliment before their approach was announced by the door-bell, and shortly afterwards the three gentlemen entered the room.",246,240,,
1982,"Colonel Fitzwilliam,
who led the way, was about thirty, not handsome, but in person and
address most truly the gentleman.","colonel fitzwilliam, who led the way, was about thirty, not handsome, but in person and address most truly the gentleman.",123,121,,
1983,"Mr. Darcy looked just as he had been
used to look in Hertfordshire, paid his compliments, with his usual
reserve, to Mrs. Collins; and whatever might be his feelings towards her
friend, met her with every appearance of composure.","mr. darcy looked just as he had been used to look in hertfordshire, paid his compliments, with his usual reserve, to mrs. collins; and whatever might be his feelings towards her friend, met her with every appearance of composure.",232,229,,
1984,"Elizabeth merely
courtesied to him, without saying a word.","elizabeth merely courtesied to him, without saying a word.",59,58,,
1985,"Colonel Fitzwilliam entered into conversation directly, with the
readiness and ease of a well-bred man, and talked very pleasantly; but
his cousin, after having addressed a slight observation on the house and
garden to Mrs. Collins, sat for some time without speaking to anybody.","colonel fitzwilliam entered into conversation directly, with the readiness and ease of a well-bred man, and talked very pleasantly; but his cousin, after having addressed a slight observation on the house and garden to mrs. collins, sat for some time without speaking to anybody.",282,279,,
1986,"At length, however, his civility was so far awakened as to inquire of
Elizabeth after the health of her family.","at length, however, his civility was so far awakened as to inquire of elizabeth after the health of her family.",112,111,,
1987,"She answered him in the usual
way; and, after a moment’s pause, added,--

“My eldest sister has been in town these three months.","she answered him in the usual way; and, after a moment's pause, added,-- ""my eldest sister has been in town these three months.",131,127,,
1988,"Have you never
happened to see her there?”

She was perfectly sensible that he never had: but she wished to see
whether he would betray any consciousness of what had passed between the
Bingleys and Jane; and she thought he looked a little confused as he
answered that he had never been so fortunate as to meet Miss Bennet.","have you never happened to see her there?"" she was perfectly sensible that he never had: but she wished to see whether he would betray any consciousness of what had passed between the bingleys and jane; and she thought he looked a little confused as he answered that he had never been so fortunate as to meet miss bennet.",328,321,,
1989,"The
subject was pursued no further, and the gentlemen soon afterwards went
away.","the subject was pursued no further, and the gentlemen soon afterwards went away.",82,80,,
1990,"[Illustration:

“At Church”
]




CHAPTER XXXI.","[illustration: ""at church"" ] chapter xxxi.",55,42,,
1991,"Colonel Fitzwilliam’s manners were very much admired at the Parsonage,
and the ladies all felt that he must add considerably to the pleasure of
their engagements at Rosings.","colonel fitzwilliam's manners were very much admired at the parsonage, and the ladies all felt that he must add considerably to the pleasure of their engagements at rosings.",175,173,,
1992,"It was some days, however, before they
received any invitation thither, for while there were visitors in the
house they could not be necessary; and it was not till Easter-day,
almost a week after the gentlemen’s arrival, that they were honoured by
such an attention, and then they were merely asked on leaving church to
come there in the evening.","it was some days, however, before they received any invitation thither, for while there were visitors in the house they could not be necessary; and it was not till easter-day, almost a week after the gentlemen's arrival, that they were honoured by such an attention, and then they were merely asked on leaving church to come there in the evening.",351,346,,
1993,"For the last week they had seen very little
of either Lady Catherine or her daughter.",for the last week they had seen very little of either lady catherine or her daughter.,86,85,,
1994,"Colonel Fitzwilliam had called
at the Parsonage more than once during the time, but Mr. Darcy they had
only seen at church.","colonel fitzwilliam had called at the parsonage more than once during the time, but mr. darcy they had only seen at church.",125,123,,
1995,"The invitation was accepted, of course, and at a proper hour they joined
the party in Lady Catherine’s drawing-room.","the invitation was accepted, of course, and at a proper hour they joined the party in lady catherine's drawing-room.",117,116,,
1996,"Her Ladyship received them
civilly, but it was plain that their company was by no means so
acceptable as when she could get nobody else; and she was, in fact,
almost engrossed by her nephews, speaking to them, especially to Darcy,
much more than to any other person in the room.","her ladyship received them civilly, but it was plain that their company was by no means so acceptable as when she could get nobody else; and she was, in fact, almost engrossed by her nephews, speaking to them, especially to darcy, much more than to any other person in the room.",282,278,,
1997,"Colonel Fitzwilliam seemed really glad to see them: anything was a
welcome relief to him at Rosings; and Mrs. Collins’s pretty friend had,
moreover, caught his fancy very much.","colonel fitzwilliam seemed really glad to see them: anything was a welcome relief to him at rosings; and mrs. collins's pretty friend had, moreover, caught his fancy very much.",178,176,,
1998,"He now seated himself by her, and
talked so agreeably of Kent and Hertfordshire, of travelling and staying
at home, of new books and music, that Elizabeth had never been half so
well entertained in that room before; and they conversed with so much
spirit and flow as to draw the attention of Lady Catherine herself, as
well as of Mr. Darcy.","he now seated himself by her, and talked so agreeably of kent and hertfordshire, of travelling and staying at home, of new books and music, that elizabeth had never been half so well entertained in that room before; and they conversed with so much spirit and flow as to draw the attention of lady catherine herself, as well as of mr. darcy.",345,340,,
1999,"_His eyes had been soon and repeatedly turned
towards them with a look of curiosity; and that her Ladyship, after a
while, shared the feeling, was more openly acknowledged, for she did not
scruple to call out,--

“What is that you are saying, Fitzwilliam?","_his eyes had been soon and repeatedly turned towards them with a look of curiosity; and that her ladyship, after a while, shared the feeling, was more openly acknowledged, for she did not scruple to call out,-- ""what is that you are saying, fitzwilliam?",261,255,,
2000,"What is it you are talking
of?",what is it you are talking of?,31,30,,
2001,What are you telling Miss Bennet?,what are you telling miss bennet?,33,33,,
2002,"Let me hear what it is.”

“We were talking of music, madam,” said he, when no longer able to avoid
a reply.","let me hear what it is."" ""we were talking of music, madam,"" said he, when no longer able to avoid a reply.",110,106,,
2003,“Of music!,"""of music!",10,10,,
2004,Then pray speak aloud.,then pray speak aloud.,22,22,,
2005,It is of all subjects my delight.,it is of all subjects my delight.,33,33,,
2006,"I
must have my share in the conversation, if you are speaking of music.","i must have my share in the conversation, if you are speaking of music.",72,71,,
2007,"There are few people in England, I suppose, who have more true
enjoyment of music than myself, or a better natural taste.","there are few people in england, i suppose, who have more true enjoyment of music than myself, or a better natural taste.",122,121,,
2008,"If I had ever
learnt, I should have been a great proficient.","if i had ever learnt, i should have been a great proficient.",61,60,,
2009,"And so would Anne, if her
health had allowed her to apply.","and so would anne, if her health had allowed her to apply.",59,58,,
2010,"I am confident that she would have
performed delightfully.",i am confident that she would have performed delightfully.,59,58,,
2011,"How does Georgiana get on, Darcy?”

Mr. Darcy spoke with affectionate praise of his sister’s proficiency.","how does georgiana get on, darcy?"" mr. darcy spoke with affectionate praise of his sister's proficiency.",107,104,,
2012,"“I am very glad to hear such a good account of her,” said Lady
Catherine; “and pray tell her from me, that she cannot expect to excel,
if she does not practise a great deal.”

“I assure you, madam,” he replied, “that she does not need such advice.","""i am very glad to hear such a good account of her,"" said lady catherine; ""and pray tell her from me, that she cannot expect to excel, if she does not practise a great deal."" ""i assure you, madam,"" he replied, ""that she does not need such advice.",251,246,,
2013,"She practises very constantly.”

“So much the better.","she practises very constantly."" ""so much the better.",55,52,,
2014,"It cannot be done too much; and when I next write
to her, I shall charge her not to neglect it on any account.","it cannot be done too much; and when i next write to her, i shall charge her not to neglect it on any account.",111,110,,
2015,"I often
tell young ladies, that no excellence in music is to be acquired without
constant practice.","i often tell young ladies, that no excellence in music is to be acquired without constant practice.",101,99,,
2016,"I have told Miss Bennet several times, that she will
never play really well, unless she practises more; and though Mrs.
Collins has no instrument, she is very welcome, as I have often told
her, to come to Rosings every day, and play on the pianoforte in Mrs.
Jenkinson’s room.","i have told miss bennet several times, that she will never play really well, unless she practises more; and though mrs. collins has no instrument, she is very welcome, as i have often told her, to come to rosings every day, and play on the pianoforte in mrs. jenkinson's room.",280,276,,
2017,"She would be in nobody’s way, you know, in that part
of the house.”

Mr. Darcy looked a little ashamed of his aunt’s ill-breeding, and made
no answer.","she would be in nobody's way, you know, in that part of the house."" mr. darcy looked a little ashamed of his aunt's ill-breeding, and made no answer.",154,149,,
2018,"When coffee was over, Colonel Fitzwilliam reminded Elizabeth of having
promised to play to him; and she sat down directly to the instrument.","when coffee was over, colonel fitzwilliam reminded elizabeth of having promised to play to him; and she sat down directly to the instrument.",141,140,,
2019,"He
drew a chair near her.",he drew a chair near her.,26,25,,
2020,"Lady Catherine listened to half a song, and then
talked, as before, to her other nephew; till the latter walked away from
her, and moving with his usual deliberation towards the pianoforte,
stationed himself so as to command a full view of the fair performer’s
countenance.","lady catherine listened to half a song, and then talked, as before, to her other nephew; till the latter walked away from her, and moving with his usual deliberation towards the pianoforte, stationed himself so as to command a full view of the fair performer's countenance.",277,273,,
2021,"Elizabeth saw what he was doing, and at the first
convenient pause turned to him with an arch smile, and said,--

“You mean to frighten me, Mr. Darcy, by coming in all this state to hear
me.","elizabeth saw what he was doing, and at the first convenient pause turned to him with an arch smile, and said,-- ""you mean to frighten me, mr. darcy, by coming in all this state to hear me.",194,189,,
2022,"But I will not be alarmed, though your sister does play so well.","but i will not be alarmed, though your sister does play so well.",66,66,,
2023,"There is a stubbornness about me that never can bear to be frightened at
the will of others.",there is a stubbornness about me that never can bear to be frightened at the will of others.,93,92,,
2024,"My courage always rises with every attempt to
intimidate me.”

“I shall not say that you are mistaken,” he replied, “because you could
not really believe me to entertain any design of alarming you; and I
have had the pleasure of your acquaintance long enough to know, that you
find great enjoyment in occasionally professing opinions which, in fact,
are not your own.”

Elizabeth laughed heartily at this picture of herself, and said to
Colonel Fitzwilliam, “Your cousin will give you a very pretty notion of
me, and teach you not to believe a word I say.","my courage always rises with every attempt to intimidate me."" ""i shall not say that you are mistaken,"" he replied, ""because you could not really believe me to entertain any design of alarming you; and i have had the pleasure of your acquaintance long enough to know, that you find great enjoyment in occasionally professing opinions which, in fact, are not your own."" elizabeth laughed heartily at this picture of herself, and said to colonel fitzwilliam, ""your cousin will give you a very pretty notion of me, and teach you not to believe a word i say.",566,553,,
2025,"I am particularly unlucky
in meeting with a person so well able to expose my real character, in a
part of the world where I had hoped to pass myself off with some degree
of credit.","i am particularly unlucky in meeting with a person so well able to expose my real character, in a part of the world where i had hoped to pass myself off with some degree of credit.",183,180,,
2026,"Indeed, Mr. Darcy, it is very ungenerous in you to mention
all that you knew to my disadvantage in Hertfordshire--and, give me
leave to say, very impolitic too--for it is provoking me to retaliate,
and such things may come out as will shock your relations to hear.”

“I am not afraid of you,” said he, smilingly.","indeed, mr. darcy, it is very ungenerous in you to mention all that you knew to my disadvantage in hertfordshire--and, give me leave to say, very impolitic too--for it is provoking me to retaliate, and such things may come out as will shock your relations to hear."" ""i am not afraid of you,"" said he, smilingly.",317,311,,
2027,"“Pray let me hear what you have to accuse him of,” cried Colonel
Fitzwilliam.","""pray let me hear what you have to accuse him of,"" cried colonel fitzwilliam.",78,77,,
2028,"“I should like to know how he behaves among strangers.”

“You shall hear, then--but prepare for something very dreadful.","""i should like to know how he behaves among strangers."" ""you shall hear, then--but prepare for something very dreadful.",122,119,,
2029,"The
first time of my ever seeing him in Hertfordshire, you must know, was at
a ball--and at this ball, what do you think he did?","the first time of my ever seeing him in hertfordshire, you must know, was at a ball--and at this ball, what do you think he did?",130,128,,
2030,"He danced only four
dances!",he danced only four dances!,28,27,,
2031,"I am sorry to pain you, but so it was.","i am sorry to pain you, but so it was.",38,38,,
2032,"He danced only four
dances, though gentlemen were scarce; and, to my certain knowledge, more
than one young lady was sitting down in want of a partner.","he danced only four dances, though gentlemen were scarce; and, to my certain knowledge, more than one young lady was sitting down in want of a partner.",153,151,,
2033,"Mr. Darcy,
you cannot deny the fact.”

“I had not at that time the honour of knowing any lady in the assembly
beyond my own party.”

“True; and nobody can ever be introduced in a ball-room.","mr. darcy, you cannot deny the fact."" ""i had not at that time the honour of knowing any lady in the assembly beyond my own party."" ""true; and nobody can ever be introduced in a ball-room.",195,187,,
2034,"Well, Colonel
Fitzwilliam, what do I play next?","well, colonel fitzwilliam, what do i play next?",48,47,,
2035,"My fingers wait your orders.”

“Perhaps,” said Darcy, “I should have judged better had I sought an
introduction, but I am ill-qualified to recommend myself to strangers.”

“Shall we ask your cousin the reason of this?” said Elizabeth, still
addressing Colonel Fitzwilliam.","my fingers wait your orders."" ""perhaps,"" said darcy, ""i should have judged better had i sought an introduction, but i am ill-qualified to recommend myself to strangers."" ""shall we ask your cousin the reason of this?"" said elizabeth, still addressing colonel fitzwilliam.",278,270,,
2036,"“Shall we ask him why a man of sense and
education, and who has lived in the world, is ill-qualified to recommend
himself to strangers?”

“I can answer your question,” said Fitzwilliam, “without applying to
him.","""shall we ask him why a man of sense and education, and who has lived in the world, is ill-qualified to recommend himself to strangers?"" ""i can answer your question,"" said fitzwilliam, ""without applying to him.",216,210,,
2037,"It is because he will not give himself the trouble.”

“I certainly have not the talent which some people possess,” said Darcy,
“of conversing easily with those I have never seen before.","it is because he will not give himself the trouble."" ""i certainly have not the talent which some people possess,"" said darcy, ""of conversing easily with those i have never seen before.",188,184,,
2038,"I cannot
catch their tone of conversation, or appear interested in their
concerns, as I often see done.”

“My fingers,” said Elizabeth, “do not move over this instrument in the
masterly manner which I see so many women’s do.","i cannot catch their tone of conversation, or appear interested in their concerns, as i often see done."" ""my fingers,"" said elizabeth, ""do not move over this instrument in the masterly manner which i see so many women's do.",229,223,,
2039,"They have not the same
force or rapidity, and do not produce the same expression.","they have not the same force or rapidity, and do not produce the same expression.",82,81,,
2040,"But then I
have always supposed it to be my own fault--because I would not take
the trouble of practising.",but then i have always supposed it to be my own fault--because i would not take the trouble of practising.,108,106,,
2041,"It is not that I do not believe my fingers
as capable as any other woman’s of superior execution.”

Darcy smiled and said, “You are perfectly right.","it is not that i do not believe my fingers as capable as any other woman's of superior execution."" darcy smiled and said, ""you are perfectly right.",153,149,,
2042,"You have employed your
time much better.",you have employed your time much better.,41,40,,
2043,"No one admitted to the privilege of hearing you can
think anything wanting.",no one admitted to the privilege of hearing you can think anything wanting.,76,75,,
2044,"We neither of us perform to strangers.”

Here they were interrupted by Lady Catherine, who called out to know
what they were talking of.","we neither of us perform to strangers."" here they were interrupted by lady catherine, who called out to know what they were talking of.",139,135,,
2045,Elizabeth immediately began playing again.,elizabeth immediately began playing again.,42,42,,
2046,"Lady Catherine approached, and, after listening for a few minutes, said
to Darcy,--

“Miss Bennet would not play at all amiss if she practised more, and
could have the advantage of a London master.","lady catherine approached, and, after listening for a few minutes, said to darcy,-- ""miss bennet would not play at all amiss if she practised more, and could have the advantage of a london master.",201,196,,
2047,"She has a very good notion
of fingering, though her taste is not equal to Anne’s.","she has a very good notion of fingering, though her taste is not equal to anne's.",82,81,,
2048,"Anne would have
been a delightful performer, had her health allowed her to learn.”

Elizabeth looked at Darcy, to see how cordially he assented to his
cousin’s praise: but neither at that moment nor at any other could she
discern any symptom of love; and from the whole of his behaviour to Miss
De Bourgh she derived this comfort for Miss Bingley, that he might have
been just as likely to marry her_, had she been his relation.","anne would have been a delightful performer, had her health allowed her to learn."" elizabeth looked at darcy, to see how cordially he assented to his cousin's praise: but neither at that moment nor at any other could she discern any symptom of love; and from the whole of his behaviour to miss de bourgh she derived this comfort for miss bingley, that he might have been just as likely to marry her_, had she been his relation.",436,428,,
2049,"Lady Catherine continued her remarks on Elizabeth’s performance, mixing
with them many instructions on execution and taste.","lady catherine continued her remarks on elizabeth's performance, mixing with them many instructions on execution and taste.",124,123,,
2050,"Elizabeth received
them with all the forbearance of civility; and at the request of the
gentlemen remained at the instrument till her Ladyship’s carriage was
ready to take them all home.",elizabeth received them with all the forbearance of civility, and at the request of the gentlemen remained at the instrument till her ladyship's carriage was ready to take them all home.,189,186,
2051,CHAPTER XXXII.,chapter xxxii.,14,14,,
2052,"Elizabeth was sitting by herself the next morning, and writing to Jane,
while Mrs. Collins and Maria were gone on business into the village,
when she was startled by a ring at the door, the certain signal of a
visitor.","elizabeth was sitting by herself the next morning, and writing to jane, while mrs. collins and maria were gone on business into the village, when she was startled by a ring at the door, the certain signal of a visitor.",221,218,,
2053,"As she had heard no carriage, she thought it not unlikely to be
Lady Catherine; and under that apprehension was putting away her
half-finished letter, that she might escape all impertinent questions,
when the door opened, and to her very great surprise Mr. Darcy, and Mr.
Darcy only, entered the room.","as she had heard no carriage, she thought it not unlikely to be lady catherine; and under that apprehension was putting away her half-finished letter, that she might escape all impertinent questions, when the door opened, and to her very great surprise mr. darcy, and mr. darcy only, entered the room.",305,301,,
2054,"He seemed astonished too on finding her alone, and apologized for his
intrusion, by letting her know that he had understood all the ladies to
be within.","he seemed astonished too on finding her alone, and apologized for his intrusion, by letting her know that he had understood all the ladies to be within.",154,152,,
2055,"They then sat down, and when her inquiries after Rosings were made,
seemed in danger of sinking into total silence.","they then sat down, and when her inquiries after rosings were made, seemed in danger of sinking into total silence.",116,115,,
2056,"It was absolutely
necessary, therefore, to think of something; and in this emergency
recollecting when she had seen him last in Hertfordshire, and feeling
curious to know what he would say on the subject of their hasty
departure, she observed,--

“How very suddenly you all quitted Netherfield last November, Mr. Darcy!","it was absolutely necessary, therefore, to think of something; and in this emergency recollecting when she had seen him last in hertfordshire, and feeling curious to know what he would say on the subject of their hasty departure, she observed,-- ""how very suddenly you all quitted netherfield last november, mr. darcy!",327,320,,
2057,"It must have been a most agreeable surprise to Mr. Bingley to see you
all after him so soon; for, if I recollect right, he went but the day
before.","it must have been a most agreeable surprise to mr. bingley to see you all after him so soon; for, if i recollect right, he went but the day before.",149,147,,
2058,"He and his sisters were well, I hope, when you left London?”

“Perfectly so, I thank you.”

She found that she was to receive no other answer; and, after a short
pause, added,--

“I think I have understood that Mr. Bingley has not much idea of ever
returning to Netherfield again?”

“I have never heard him say so; but it is probable that he may spend
very little of his time there in future.","he and his sisters were well, i hope, when you left london?"" ""perfectly so, i thank you."" she found that she was to receive no other answer; and, after a short pause, added,-- ""i think i have understood that mr. bingley has not much idea of ever returning to netherfield again?"" ""i have never heard him say so; but it is probable that he may spend very little of his time there in future.",403,388,,
2059,"He has many friends, and he is
at a time of life when friends and engagements are continually
increasing.”

“If he means to be but little at Netherfield, it would be better for the
neighbourhood that he should give up the place entirely, for then we
might possibly get a settled family there.","he has many friends, and he is at a time of life when friends and engagements are continually increasing."" ""if he means to be but little at netherfield, it would be better for the neighbourhood that he should give up the place entirely, for then we might possibly get a settled family there.",298,291,,
2060,"But, perhaps, Mr. Bingley did
not take the house so much for the convenience of the neighbourhood as
for his own, and we must expect him to keep or quit it on the same
principle.”

“I should not be surprised,” said Darcy, “if he were to give it up as
soon as any eligible purchase offers.”

Elizabeth made no answer.","but, perhaps, mr. bingley did not take the house so much for the convenience of the neighbourhood as for his own, and we must expect him to keep or quit it on the same principle."" ""i should not be surprised,"" said darcy, ""if he were to give it up as soon as any eligible purchase offers."" elizabeth made no answer.",324,314,,
2061,"She was afraid of talking longer of his
friend; and, having nothing else to say, was now determined to leave the
trouble of finding a subject to him.","she was afraid of talking longer of his friend; and, having nothing else to say, was now determined to leave the trouble of finding a subject to him.",151,149,,
2062,"He took the hint and soon began with, “This seems a very comfortable
house.","he took the hint and soon began with, ""this seems a very comfortable house.",76,75,,
2063,"Lady Catherine, I believe, did a great deal to it when Mr.
Collins first came to Hunsford.”

“I believe she did--and I am sure she could not have bestowed her
kindness on a more grateful object.”

“Mr.","lady catherine, i believe, did a great deal to it when mr. collins first came to hunsford."" ""i believe she did--and i am sure she could not have bestowed her kindness on a more grateful object."" ""mr.",207,199,,
2064,"Collins appears very fortunate in his choice of a wife.”

“Yes, indeed; his friends may well rejoice in his having met with one of
the very few sensible women who would have accepted him, or have made
him happy if they had.","collins appears very fortunate in his choice of a wife."" ""yes, indeed; his friends may well rejoice in his having met with one of the very few sensible women who would have accepted him, or have made him happy if they had.",227,222,,
2065,"My friend has an excellent understanding--though
I am not certain that I consider her marrying Mr. Collins as the wisest
thing she ever did.",my friend has an excellent understanding--though i am not certain that i consider her marrying mr. collins as the wisest thing she ever did.,142,140,,
2066,"She seems perfectly happy, however; and, in a
prudential light, it is certainly a very good match for her.”

“It must be very agreeable to her to be settled within so easy a
distance of her own family and friends.”

“An easy distance do you call it?","she seems perfectly happy, however; and, in a prudential light, it is certainly a very good match for her."" ""it must be very agreeable to her to be settled within so easy a distance of her own family and friends."" ""an easy distance do you call it?",255,247,,
2067,"It is nearly fifty miles.”

“And what is fifty miles of good road?","it is nearly fifty miles."" ""and what is fifty miles of good road?",68,65,,
2068,"Little more than half a day’s
journey.",little more than half a day's journey.,39,38,,
2069,"Yes, I call it a very easy distance.”

“I should never have considered the distance as one of the advantages_
of the match,” cried Elizabeth.","yes, i call it a very easy distance."" ""i should never have considered the distance as one of the advantages of the match,"" cried elizabeth.",145,141,,
2070,"“I should never have said Mrs. Collins
was settled near her family.”

“It is a proof of your own attachment to Hertfordshire.","""i should never have said mrs. collins was settled near her family."" ""it is a proof of your own attachment to hertfordshire.",130,126,,
2071,"Anything beyond
the very neighbourhood of Longbourn, I suppose, would appear far.”

As he spoke there was a sort of smile, which Elizabeth fancied she
understood; he must be supposing her to be thinking of Jane and
Netherfield, and she blushed as she answered,--

“I do not mean to say that a woman may not be settled too near her
family.","anything beyond the very neighbourhood of longbourn, i suppose, would appear far."" as he spoke there was a sort of smile, which elizabeth fancied she understood; he must be supposing her to be thinking of jane and netherfield, and she blushed as she answered,-- ""i do not mean to say that a woman may not be settled too near her family.",346,336,,
2072,"The far and the near must be relative, and depend on many
varying circumstances.","the far and the near must be relative, and depend on many varying circumstances.",81,80,,
2073,"Where there is fortune to make the expense of
travelling unimportant, distance becomes no evil.","where there is fortune to make the expense of travelling unimportant, distance becomes no evil.",96,95,,
2074,"But that is not the
case here_.",but that is not the case here_.,33,32,,
2075,"Mr. and Mrs. Collins have a comfortable income, but not
such a one as will allow of frequent journeys--and I am persuaded my
friend would not call herself near her family under less than half_
the present distance.”

Mr. Darcy drew his chair a little towards her, and said, “_You cannot
have a right to such very strong local attachment.","mr. and mrs. collins have a comfortable income, but not such a one as will allow of frequent journeys--and i am persuaded my friend would not call herself near her family under less than half the present distance."" mr. darcy drew his chair a little towards her, and said, ""_you cannot have a right to such very strong local attachment.",347,340,,
2076,"_You cannot have
been always at Longbourn.”

Elizabeth looked surprised.","_you cannot have been always at longbourn."" elizabeth looked surprised.",76,72,,
2077,"The gentleman experienced some change of
feeling; he drew back his chair, took a newspaper from the table, and,
glancing over it, said, in a colder voice,--

“Are you pleased with Kent?”

A short dialogue on the subject of the country ensued, on either side
calm and concise--and soon put an end to by the entrance of Charlotte
and her sister, just returned from their walk.","the gentleman experienced some change of feeling; he drew back his chair, took a newspaper from the table, and, glancing over it, said, in a colder voice,-- ""are you pleased with kent?"" a short dialogue on the subject of the country ensued, on either side calm and concise--and soon put an end to by the entrance of charlotte and her sister, just returned from their walk.",382,372,,
2078,"The tête-à-tête_
surprised them.",the tete-a-tete surprised them.,34,33,,
2079,"Mr. Darcy related the mistake which had occasioned his
intruding on Miss Bennet, and, after sitting a few minutes longer,
without saying much to anybody, went away.","mr. darcy related the mistake which had occasioned his intruding on miss bennet, and, after sitting a few minutes longer, without saying much to anybody, went away.",166,164,,
2080,"[Illustration: “Accompanied by their aunt”

[_Copyright 1894 by George Allen._]]

“What can be the meaning of this?” said Charlotte, as soon as he was
gone.","[illustration: ""accompanied by their aunt"" [_copyright 1894 by george allen._]] ""what can be the meaning of this?"" said charlotte, as soon as he was gone.",161,154,,
2081,"“My dear Eliza, he must be in love with you, or he would never
have called on us in this familiar way.”

But when Elizabeth told of his silence, it did not seem very likely,
even to Charlotte’s wishes, to be the case; and, after various
conjectures, they could at last only suppose his visit to proceed from
the difficulty of finding anything to do, which was the more probable
from the time of year.","""my dear eliza, he must be in love with you, or he would never have called on us in this familiar way."" but when elizabeth told of his silence, it did not seem very likely, even to charlotte's wishes, to be the case; and, after various conjectures, they could at last only suppose his visit to proceed from the difficulty of finding anything to do, which was the more probable from the time of year.",407,399,,
2082,All field sports were over.,all field sports were over.,27,27,,
2083,"Within doors there
was Lady Catherine, books, and a billiard table, but gentlemen cannot be
always within doors; and in the nearness of the Parsonage, or the
pleasantness of the walk to it, or of the people who lived in it, the
two cousins found a temptation from this period of walking thither
almost every day.","within doors there was lady catherine, books, and a billiard table, but gentlemen cannot be always within doors; and in the nearness of the parsonage, or the pleasantness of the walk to it, or of the people who lived in it, the two cousins found a temptation from this period of walking thither almost every day.",317,312,,
2084,"They called at various times of the morning, sometimes
separately, sometimes together, and now and then accompanied by their
aunt.","they called at various times of the morning, sometimes separately, sometimes together, and now and then accompanied by their aunt.",132,130,,
2085,"It was plain to them all that Colonel Fitzwilliam came because he
had pleasure in their society, a persuasion which of course recommended
him still more; and Elizabeth was reminded by her own satisfaction in
being with him, as well as by his evident admiration, of her former
favourite, George Wickham; and though, in comparing them, she saw there
was less captivating softness in Colonel Fitzwilliam’s manners, she
believed he might have the best informed mind.","it was plain to them all that colonel fitzwilliam came because he had pleasure in their society, a persuasion which of course recommended him still more; and elizabeth was reminded by her own satisfaction in being with him, as well as by his evident admiration, of her former favourite, george wickham; and though, in comparing them, she saw there was less captivating softness in colonel fitzwilliam's manners, she believed he might have the best informed mind.",468,462,,
2086,"But why Mr. Darcy came so often to the Parsonage it was more difficult
to understand.",but why mr. darcy came so often to the parsonage it was more difficult to understand.,86,85,,
